column	row	N	corrected-left-p-value	corrected-right-p-value	corrected-two-tail-p-value	distribution	expected-mean	expected-stdev	left-p-value	observed	probability	right-p-value	two-tail-p-value
lymph nodes	ECM-receptor interaction	84	1	1	1	BINOMIAL	6.773851590106007	2.4955161413931677	0.8616622481338275	9	0.08064109035840485	0.23525440986497465	1
stomach	ECM-receptor interaction	77	0.999999997939538	2.1688591331921363E-6	1	BINOMIAL	3.611235182958255	1.8552280972274566	0.999999997939538	18	0.046899158220237075	1.3640623479195826E-8	1
HR systems	ECM-receptor interaction	83	0.851003279145675	1	1	BINOMIAL	3.909295165182658	1.9300693227503956	0.24466344275438154	2	0.04709994174918865	0.9069502139165047	1
thyroid gland	ECM-receptor interaction	81	0.9999997693382513	2.0732371710883432E-4	1	BINOMIAL	3.400507794048181	1.8049235750741013	0.9999997693382513	15	0.041981577704298535	1.2957732319302145E-6	1
pancreas	ECM-receptor interaction	82	1	0.021119586293280097	1	BINOMIAL	2.1074870677919955	1.4329418733553145	0.9999503125621579	9	0.02570106180234141	2.639948286660012E-4	1
prostate gland	ECM-receptor interaction	84	1	1	1	BINOMIAL	3.469844916714532	1.823873263591117	0.9410299566896572	6	0.04130767757993491	0.13416815844675797	1
skin	Cell cycle	122	1	9.643150407553035E-7	1	BINOMIAL	15.120297888545677	3.639551555609039	0.999999987338819	38	0.12393686793889899	4.218878303304453E-8	1
liver	Cell cycle	121	1	0.0036926421028324013	1	BINOMIAL	12.548200104341777	3.3536397973894445	0.9997483076786158	25	0.10370413309373369	6.076499662888762E-4	1
testis	Cell cycle	116	1	0.5313899726897022	1	BINOMIAL	11.028736964078796	3.159141700343217	0.9165108933811945	15	0.09507531865585168	0.13702508729734458	1
kidney	Cell cycle	122	1	0.015962625787919422	1	BINOMIAL	9.95286252274362	3.023392074185321	0.9991279100314496	20	0.08158084035035755	0.002095094634664424	1
adrenal cortex	Cell cycle	122	0.9999999999999998	1.7304003163214637E-17	1	BINOMIAL	18.243473109634834	3.938959886295899	0.9999999999999999	61	0.1495366648330724	1.0815001977009148E-19	0.9999999999999999
brain, nos	Cell cycle	122	1	2.587121536472497E-6	1	BINOMIAL	12.079719036939872	3.299038745362616	0.9999999816733859	33	0.09901409046672026	6.467803841181242E-8	1
colon, nos	Cell cycle	122	0.9999999999996507	2.747811073130602E-10	1	BINOMIAL	10.613365755492202	3.1128858171701856	0.9999999999996507	38	0.08699480127452625	1.7173819207066263E-12	1
ovary	Cell cycle	114	1	0.001587674855138215	1	BINOMIAL	9.508072423034186	2.9521280088970285	0.9999794373289517	23	0.08340414406170338	6.106441750531596E-5	1
urinary bladder	Cell cycle	114	1	0.002810331686294245	1	BINOMIAL	7.608402187827302	2.664697845944358	0.9999348831179431	19	0.06674037006866054	1.9690222005883245E-4	1
breast	Cell cycle	123	1	7.746133481050638E-6	1	BINOMIAL	4.423536967167054	2.065054513467062	0.9999999814607143	19	0.03596371518021996	9.682666851313298E-8	1
lung	Cell cycle	123	1	0.012889864587247607	1	BINOMIAL	2.987437185929648	1.7073013768214784	0.9997797407788406	10	0.024288107202680067	8.861781903732731E-4	1
